time,x,y,z
1781180477.3061464,34.87009182572365,-64.9622231721878,-929.6729564666748
1781180477.3368804,34.77197885513306,-64.91111218929291,-929.6379685401917
1781180477.3684492,34.8176434636116,-64.92935866117477,-929.3974041938782
1781180477.3992782,34.87018123269081,-64.9697557091713,-929.4412732124329
1781180477.4294305,34.86337512731552,-64.9549588561058,-929.3380975723267
1781180477.460494,34.779295325279236,-64.91788476705551,-929.2050004005432
1781180477.4913588,34.841880202293396,-64.97674435377121,-929.4925928115845
1781180477.521751,34.845903515815735,-65.0172159075737,-929.2726516723633
1781180477.5524533,34.8636768758297,-64.972423017025,-929.5797348022461
1781180477.5840247,34.81272608041763,-64.94604051113129,-929.3612241744995
1781180477.615137,34.78816896677017,-64.90211188793182,-929.1797280311584
1781180477.6470578,34.8486602306366,-64.92483615875244,-929.276168346405
1781180477.6789484,34.8360575735569,-65.01693278551102,-929.5565485954285
1781180477.710928,34.80072319507599,-65.04150480031967,-929.3079972267151
1781180477.7420406,34.81569141149521,-64.8920014500618,-929.3273687362671
1781180477.7740011,34.82741862535477,-64.9745836853981,-929.6944737434387
1781180477.8060417,34.8481759428978,-64.96650725603104,-929.7997355461121
1781180477.8371975,34.85637903213501,-65.02901762723923,-930.0405383110046
1781180477.8678665,34.852877259254456,-64.95881080627441,-929.9072623252869
1781180477.8989656,34.85159948468208,-65.02336263656616,-930.01788854599
1781180477.9302795,34.86068546772003,-65.07737934589386,-930.0885200500488
1781180477.9613767,34.86545383930206,-65.07235020399094,-930.2862286567688
1781180477.9926832,34.85589101910591,-65.06779044866562,-930.226743221283
1781180478.0240912,34.863706678152084,-65.07402658462524,-930.0910234451294
1781180478.0548356,34.767620265483856,-65.04859030246735,-929.6507835388184
1781180478.0858393,34.76664423942566,-64.91800397634506,-929.4437766075134
1781180478.117648,34.79509800672531,-64.94726985692978,-929.5139908790588
1781180478.1490104,34.88091006875038,-65.03918766975403,-929.7190308570862
1781180478.1807063,34.87575426697731,-65.08377939462662,-929.9611449241638
1781180478.212395,34.81805697083473,-65.03719091415405,-929.9533367156982
1781180478.2429695,34.78437662124634,-65.03407657146454,-929.8273921012878
1781180478.2747374,34.86981242895126,-64.99137729406357,-929.7137260437012
1781180478.3064137,34.90668535232544,-65.14773517847061,-930.007815361023
1781180478.3379376,34.83739495277405,-65.07157534360886,-929.572343826294
1781180478.3688452,34.836579114198685,-64.99699503183365,-929.7196865081787
1781180478.4007003,34.83127802610397,-65.02099335193634,-929.8643469810486
1781180478.43163,34.84511375427246,-65.05037844181061,-929.9914240837097
1781180478.4635026,34.8757803440094,-65.12283533811569,-930.1091432571411
1781180478.4949305,34.89965945482254,-65.05472213029861,-929.9657344818115
1781180478.5268831,34.8672941327095,-65.01118093729019,-929.7049045562744
1781180478.558375,34.78989377617836,-64.99062478542328,-929.6690821647644
1781180478.5900886,34.821152687072754,-65.04039466381073,-929.8972487449646
1781180478.6209192,34.81689095497131,-65.03623723983765,-929.6783804893494
1781180478.651732,34.83019396662712,-65.03117829561234,-929.7353029251099
1781180478.6830297,34.8675474524498,-65.02421200275421,-929.6075105667114
1781180478.7132246,34.84282270073891,-65.03935158252716,-929.7231435775757
1781180478.7438104,34.83950346708298,-65.11975824832916,-929.8208355903625
1781180478.7749324,34.842852503061295,-65.09929150342941,-930.0136566162109
1781180478.8068526,34.85126420855522,-65.10481238365173,-930.0906658172607
1781180478.8380275,34.89011898636818,-65.04804641008377,-930.0375580787659
1781180478.8690398,34.91848334670067,-65.06087630987167,-929.9073815345764
1781180478.9007094,34.85051915049553,-65.01627713441849,-929.6646118164062
1781180478.932778,34.876056015491486,-65.07077068090439,-929.8231601715088
1781180478.9648876,34.85654294490814,-65.09877741336823,-929.8529028892517
1781180478.9950838,34.85137224197388,-65.08773565292358,-929.9819469451904
1781180479.0268679,34.83444079756737,-65.09862095117569,-930.0284385681152
1781180479.058226,34.85250100493431,-65.05808234214783,-929.8779368400574
1781180479.0884426,34.82355177402496,-65.09920209646225,-929.9150705337524
1781180479.119768,34.875188022851944,-65.1351809501648,-930.1268458366394
1781180479.1509652,34.85788032412529,-64.96094167232513,-929.8908710479736
1781180479.1819472,34.84353795647621,-65.06133079528809,-929.9743175506592
1781180479.2126615,34.83102470636368,-65.07518887519836,-930.0141930580139
1781180479.24373,34.8808728158474,-65.18062204122543,-930.0686120986938
1781180479.275072,34.82542559504509,-65.02609699964523,-930.0007820129395
1781180479.3061385,34.83181446790695,-65.04474580287933,-929.9252033233643
1781180479.3379457,34.85353663563728,-65.06554782390594,-929.7219514846802
1781180479.3694937,34.84503924846649,-65.04680961370468,-929.8471808433533
1781180479.4009066,34.82326865196228,-65.01597911119461,-929.8397302627563
1781180479.431444,34.8350815474987,-64.9237111210823,-929.5599460601807
1781180479.462295,34.819841384887695,-64.9934783577919,-929.6423196792603
1781180479.4934936,34.83854979276657,-65.06147235631943,-929.5756220817566
1781180479.524017,34.860242158174515,-65.0632381439209,-929.6594858169556
1781180479.5560875,34.81962904334068,-64.96640294790268,-929.5898675918579
1781180479.5870638,34.85577553510666,-64.98100608587265,-929.5173287391663
1781180479.6184025,34.85020250082016,-64.9297684431076,-929.3817281723022
1781180479.6500022,34.82293710112572,-64.95661288499832,-929.5040965080261
1781180479.6810536,34.82941538095474,-65.00770151615143,-929.6382665634155
1781180479.7119997,34.820299595594406,-65.00746309757233,-929.6873211860657
1781180479.7421434,34.85109657049179,-65.0549829006195,-929.825484752655
1781180479.7735412,34.837014973163605,-65.06402045488358,-929.8619031906128
1781180479.805628,34.850526601076126,-65.07891416549683,-929.9109578132629
1781180479.8372722,34.82510894536972,-65.09577482938766,-930.0077557563782
1781180479.8684533,34.8086804151535,-65.1482343673706,-930.2093386650085
